trait,distance
Germination rate,0.6730707883834839
number of vascular bundles,0.6289524435997009
stress root length (SRL),0.6216487884521484
primary branch number,0.5912473201751709
number of panicles per plant,0.7475842237472534
Total amylase activity,0.5689722895622253
No. of roots ,0.6226085424423218
number of spikelets on secondary branches per panicle,0.6622917652130127
number of filled grain per paniucle,0.5783214569091797
spikelet number per panicle,0.6744235157966614
early elongation ability using the lowest elongated internode (LEI) concept,0.5059660077095032
Plant height-control,0.9010267853736877
relative fresh weight,0.6437065601348877
rate of internodal elongation,0.6093342304229736
osmotic adjustment,0.5927616953849792
root volume,0.6626580953598022
Number of large vascular bundles,0.6184605360031128
relative root elongation (an indicator for Al tolerance),0.579116702079773
glutelin subunit polypeptides ,0.496482789516449
"""small grain,""",0.6497405171394348
"""Plant height (Low N level, Soil culture , Heading stage )""",0.7368408441543579
ResistanceÅ@score,0.6646966934204102
Relative tillering ability,0.5947226285934448
root fresh weight (Water deficit),0.6407797336578369
Tiller number,0.6355641484260559
day to heading,0.537386417388916
arsenic concentrations in brown rice ,0.6147246360778809
cytoplasmic male sterility restorer gene,0.5895470380783081
the grain yield per plant (GY) ,0.7257905006408691
Number of large vascular bundles/Area of flag leaf,0.5885570049285889
penetrated root thickness,0.6295203566551208
panicle length (PAL),0.7084311842918396
first leaf perimeter,0.6704165935516357
panicle number per hill,0.6644362807273865
Relative water content,0.6071089506149292
Endosperm translucency,0.5776000618934631
Relative root length after 4 weeks stress,0.5755255818367004
panicle number,0.666557252407074
Relative germination vigor(RGV),0.6349185705184937
Dead seedling rate at 62 days,0.5572875738143921
Biomass-control,0.6780738830566406
Deep root weight per unit shoot weight,0.6527238488197327
shoot length,0.682343602180481
Chlorophyll content,0.6401087641716003
maximum root length (Well watered),0.6416850090026855
Length of the second seedling leaf,0.6591630578041077
white belly,0.6421111226081848
relative P allocation between shoot and root,0.5677144527435303
plant height (non stress),0.8289470076560974
Head rice,0.6791156530380249
1000-grain weight ,0.7216695547103882
elongation of the uppermost internode at the heading stage,0.5951741933822632
Fertility restorer,0.6442925930023193
Heading date,0.5922601819038391
pollen and spikelet fertility,0.7008112668991089
Panicle length ,0.7414609789848328
Grains/panicle(1998),0.7088485956192017
Chalkiness ,0.47262147068977356
tiller angle,0.670942485332489
cold tolerance at seedling stage,0.64774489402771
Yield,0.6707443594932556
one-thousand kernel weight,0.6056154370307922
Maximum new root length NF-RP,0.6292509436607361
maximum root length,0.7042084336280823
Number of tillers per plant,0.7638803124427795
"""STS, mg Si per 100 mg dry weight in the stem""",0.6751372218132019
the grain-setting density(SDEN) ,0.5799014568328857
Sheath blight response,0.6192760467529297
"""Pasting time, time of initial viscosity increase""",0.45709195733070374
panicle per plant,0.7814515829086304
Biomass plant-1,0.8093750476837158
spikelets per panicle,0.7233706712722778
Embryo Length,0.678979754447937
iron concentration in shoot tissue,0.5882081389427185
head milled rice,0.6596943140029907
resistance to sheath blight (SB) disease,0.617311954498291
Rice fat content,0.6062325239181519
position of the lowest elongated internode,0.6331712603569031
Deep root weight per tiller,0.66437828540802
bacterial blight resistance ,0.6617506146430969
third leaf length,0.6735542416572571
the panicle length (PL) ,0.7270662784576416
number of florets per branch (FPB),0.5983197689056396
tolerance index to Fe 2+ toxicity,0.5937322974205017
Grain shape,0.6908864378929138
Gelatinization Temperature,0.5407561659812927
Day toÅ@flowering,0.6766254305839539
number of filled grains per panicle,0.640251636505127
dwarf phenotype and leaves with abnormally rounded tip regions,0.6186760067939758
Plant age in leaf number NF-RP,0.702373743057251
H2O2 content,0.6353453397750854
chlorophyll content,0.643162190914154
Grain breadth ,0.669721245765686
Width of the flag leaf ,0.7091053128242493
Leaf bronzing index,0.6152330040931702
Spikelet sterility,0.676974356174469
carbon isotope discrimination(É¢ 13C) in IRRI 1996,0.5659447908401489
Alkali spreading value,0.6325574517250061
root elongation under phosphorus deficiency,0.6003573536872864
yellowish-green leaf,0.6977154612541199
grain shape,0.6925196051597595
Root axis length,0.6712341904640198
total P,0.6606866121292114
Awned,0.6728617548942566
Plant age in leaf number F-C,0.727295994758606
the spikelet number of a panicle (SP),0.6728249788284302
Number of panicles/plant,0.7643362283706665
elongation ratio,0.6488640308380127
Plant mortality  (Sep-Dec),0.7323336005210876
Tid1,0.6448968052864075
grain length,0.6966056823730469
elongation index,0.6448853015899658
Grains/panicle ,0.7230066657066345
Relative root dry weight,0.6739006042480469
days to emergence of flag-leaf,0.5327433943748474
Panicle size,0.7307848334312439
Tillers/plant(1998),0.8361692428588867
hybrid breakdown,0.6142750382423401
Dead leaf rate at 20 days,0.5471617579460144
white-back kernels,0.577580451965332
soluble protein content at 5days after heading,0.46929222345352173
the number of grains per panicle (GP) ,0.6573476195335388
Steririty (%),0.0
second leaf length/width ratio,0.6762296557426453
Milled rice percentage,0.6199860572814941
Penetrated root number(Sum.),0.5437435507774353
Total number of spikelets/panicle,0.6704379916191101
"""eui (for elongated uppermost internode),""",0.6139538884162903
first leaf length at seedling,0.6926411390304565
lowtemperature-sensitive pollen sterility,0.6186473965644836
Coleoptile length ,0.6196878552436829
relative root length,0.6483150720596313
seedling hight,0.6673511266708374
Root thickness,0.6837984323501587
number of primary branches per panicle (BPP),0.6077327728271484
amylose content,0.5867006778717041
ultraviolet-B (UVB) resistance,0.5811495780944824
Reducing sugar content,0.5523311495780945
palealess mutant (pal),0.6427962183952332
Secondary branch number per panicle,0.6484411954879761
Panicle number m-2,0.6721944212913513
initial plant height,0.8542200326919556
Basal root thickness,0.6836198568344116
No. of new roots,0.5845025181770325
taste,0.6085311770439148
Chlorophyll a,0.7293692231178284
spotted leaf,0.6787302494049072
Plant weight normal N condition ,0.8076093792915344
grain breadth,0.6526727676391602
Neck blast incidence against the THL84,0.4937591850757599
plant height at 35DAT,0.8704358339309692
